Author,Reported_Degree,Actual_Degree,Strength
Jacob Devlin,181,181,218
Ming-Wei Chang,21,21,29
Kenton Lee,33,33,46
Kristina Toutanova,18,18,25
Ashish Vaswani,10,10,10
Noam M. Shazeer,103,103,133
Niki Parmar,7,7,7
Jakob Uszkoreit,27,27,31
Llion Jones,40,40,47
Aidan N. Gomez,7,7,7
Lukasz Kaiser,100,100,110
Illia Polosukhin,23,23,25
Alec Radford,82,82,125
Jeff Wu,64,64,89
R. Child,229,229,268
D. Luan,70,70,71
Dario Amodei,77,77,106
I. Sutskever,105,105,142
Tom B. Brown,147,147,182
Benjamin Mann,144,144,166
Nick Ryder,185,185,218
Melanie Subbiah,150,150,172
J. Kaplan,31,31,42
Prafulla Dhariwal,144,144,166
Arvind Neelakantan,147,147,169
Pranav Shyam,144,144,166
Girish Sastry,188,188,229
Amanda Askell,207,207,245
Sandhini Agarwal,164,164,196
Ariel Herbert-Voss,187,187,225
Gretchen Krueger,188,188,229
T. Henighan,144,144,175
A. Ramesh,34,34,41
Daniel M. Ziegler,171,171,197
Clemens Winter,188,188,221
Christopher Hesse,30,30,30
Mark Chen,185,185,218
Eric Sigler,144,144,166
Ma-teusz Litwin,144,144,166
Scott Gray,185,185,230
Benjamin Chess,144,144,175
Jack Clark,37,37,48
Christopher Berner,144,144,166
Sam McCandlish,186,186,230
Tomas Mikolov,28,28,45
Kai Chen,79,79,95
G. Corrado,54,54,68
J. Dean,133,133,168
Jeffrey Pennington,7,7,7
R. Socher,58,58,83
Christopher D. Manning,59,59,77
O. Vinyals,59,59,72
Quoc V. Le,131,131,176
Kyunghyun Cho,61,61,75
B. V. Merrienboer,7,7,13
Çaglar Gülçehre,19,19,24
Dzmitry Bahdanau,75,75,93
Fethi Bougares,6,6,6
Holger Schwenk,13,13,18
Yoshua Bengio,67,67,91
Matthew E. Peters,70,70,88
Mark Neumann,15,15,20
Mohit Iyyer,31,31,38
Matt Gardner,28,28,36
Christopher Clark,25,25,30
Luke Zettlemoyer,54,54,84
Wei Wang,175,175,182
Chen Wu,12,12,15
Ming Yan,31,31,39
Fu Sun,16,16,16
Linyang Li,6,6,9
Xipeng Qiu,102,102,145
Yang Liu,195,195,228
Kevin Clark,3,3,4
Minh-Thang Luong,23,23,27
Wen-tau Yih,45,45,48
Rowan Zellers,13,13,21
Yonatan Bisk,59,59,69
Roy Schwartz,79,79,96
Yejin Choi,59,59,82
Rami Al-Rfou,13,13,13
Dokook Choe,4,4,4
Noah Constant,13,13,13
Mandy Guo,15,15,15
A. Akbik,2,2,2
Duncan A. J. Blythe,2,2,2
Roland Vollgraf,2,2,2
Alex Warstadt,7,7,8
Amanpreet Singh,401,401,415
Samuel R. Bowman,64,64,73
Alex Wang,9,9,14
Julian Michael,7,7,12
Felix Hill,9,9,14
Omer Levy,71,71,99
Lajanugen Logeswaran,7,7,7
Honglak Lee,1,1,1
Adams Wei Yu,35,35,37
David Dohan,87,87,92
Rui Zhao,37,37,40
Mohammad Norouzi,35,35,36
W. Fedus,23,23,33
I. Goodfellow,12,12,14
Andrew M. Dai,198,198,262
Jeremy Howard,1,1,1
Sebastian Ruder,365,365,400
Bryan McCann,6,6,15
James Bradbury,171,171,204
Caiming Xiong,192,192,235
Daniel Matthew Cer,7,7,7
Mona T. Diab,34,34,34
Eneko Agirre,44,44,47
I. Lopez-Gazpio,4,4,4
Lucia Specia,18,18,20
Minghao Hu,10,10,10
Yuxing Peng,5,5,5
Zhen Huang,14,14,14
Furu Wei,68,68,108
M. Zhou,36,36,44
Alexis Conneau,11,11,11
Douwe Kiela,422,422,439
Loïc Barrault,15,15,20
Antoine Bordes,6,6,6
Mandar Joshi,11,11,12
Eunsol Choi,15,15,16
Daniel S. Weld,7,7,7
Yacine Jernite,513,513,611
D. Sontag,9,9,10
Adina Williams,39,39,39
Nikita Nangia,16,16,17
Bridger Waleed Ammar,6,6,6
Chandra Bhagavatula,19,19,21
Russell Power,3,3,3
Minjoon Seo,14,14,14
Aniruddha Kembhavi,31,31,37
Ali Farhadi,35,35,44
Hannaneh Hajishirzi,44,44,48
Yonghui Wu,275,275,358
M. Schuster,44,44,46
Z. Chen,204,204,227
Wolfgang Macherey,32,32,34
M. Krikun,167,167,183
Yuan Cao,45,45,45
Qin Gao,30,30,30
Klaus Macherey,30,30,30
J. Klingner,30,30,30
Apurva Shah,30,30,30
Melvin Johnson,164,164,175
Xiaobing Liu,30,30,30
Stephan Gouws,32,32,34
Yoshikiyo Kato,30,30,30
Taku Kudo,31,31,31
H. Kazawa,32,32,34
K. Stevens,76,76,76
George Kurian,73,73,73
Nishant Patil,30,30,30
C. Young,30,30,30
Jason R. Smith,30,30,30
Jason Riesa,34,34,34
Alex Rudnick,30,30,30
Macduff Hughes,30,30,30
Oren Melamud,2,2,2
J. Goldberger,2,2,2
Ido Dagan,5,5,5
Dan Hendrycks,13,13,17
Kevin Gimpel,15,15,20
Pranav Rajpurkar,22,22,23
Jian Zhang,37,37,37
Konstantin Lopyrev,3,3,3
Percy Liang,27,27,29
Ankur P. Parikh,23,23,24
Oscar Täckström,3,3,3
Dipanjan Das,4,4,4
A. Korhonen,29,29,45
Gabor Angeli,3,3,3
Christopher Potts,41,41,54
Ryan Kiros,6,6,12
Yukun Zhu,13,13,19
R. Salakhutdinov,41,41,56
R. Zemel,19,19,29
R. Urtasun,6,6,12
A. Torralba,13,13,19
S. Fidler,9,9,15
J. Yosinski,8,8,8
J. Clune,3,3,3
Hod Lipson,3,3,3
Ciprian Chelba,12,12,12
Qi Ge,6,6,6
T. Brants,6,6,6
P. Koehn,6,6,6
T. Robinson,6,6,6
Alex Perelygin,6,6,6
Jean Wu,6,6,6
Jason Chuang,7,7,8
A. Ng,40,40,53
H. Levesque,3,3,4
E. Davis,2,2,2
L. Morgenstern,3,3,4
Joseph P. Turian,12,12,13
Lev-Arie Ratinov,24,24,24
Zihang Chen,3,3,3
Hongbo Zhang,16,16,16
Xiaoji Zhang,3,3,3
Leqi Zhao,3,3,3
L. Bentivogli,11,11,14
Peter Clark,30,30,47
Danilo Giampiccolo,3,3,3
Xinye Cao,13,13,13
Gu Nan,13,13,13
Hongcan Guo,13,13,13
Hanqing Mu,13,13,13
Long Wang,13,13,13
Yihan Lin,13,13,13
Qinchuan Zhou,13,13,13
Jiayi Li,13,13,13
Baohua Qin,13,13,13
Qimei Cui,17,17,18
Xiaofeng Tao,17,17,18
He Fang,13,13,13
Haitao Du,13,13,13
Tony Q. S. Quek,13,13,13
Josh Alman,1,1,1
Zhao Song,28,28,36
Mingjin Zhang,4,4,4
Xiaoming Shen,4,4,4
Jiannong Cao,4,4,4
Zeyang Cui,4,4,4
Shan Jiang,7,7,7
Yu Zhang,97,97,104
Mei Di,4,4,4
Haozheng Luo,7,7,7
Chenwei Xu,4,4,4
Richard Tzong-Han Tsai,14,14,14
Romain Paulus,9,9,10
Jonas Gehring,10,10,10
Michael Auli,7,7,7
David Grangier,14,14,14
Denis Yarats,8,8,8
Yann Dauphin,4,4,4
D. Britz,3,3,3
Anna Goldie,8,8,9
Zhouhan Lin,33,33,49
Minwei Feng,6,6,6
C. D. Santos,8,8,9
Mo Yu,69,69,106
Bing Xiang,8,8,9
Bowen Zhou,19,19,21
Oleksii Kuchaiev,13,13,14
Boris Ginsburg,16,16,17
Yoon Kim,21,21,24
Carl Denton,3,3,3
Luong Hoang,3,3,3
Alexander M. Rush,453,453,532
Azalia Mirhoseini,11,11,12
Krzysztof Maziarz,50,50,50
Andy Davis,6,6,6
Geoffrey E. Hinton,32,32,40
Nal Kalchbrenner,6,6,6
L. Espeholt,5,5,5
K. Simonyan,5,5,5
Aäron van den Oord,12,12,12
Alex Graves,7,7,7
K. Kavukcuoglu,14,14,14
Samy Bengio,4,4,4
François Chollet,1,1,1
Ofir Press,391,391,391
Lior Wolf,10,10,10
Jimmy Ba,6,6,6
J. Kiros,2,2,2
Jie Zhou,94,94,123
Ying Cao,7,7,7
Xuguang Wang,4,4,4
Peng Li,52,52,63
W. Xu,7,7,8
R. Józefowicz,6,6,6
Chris Dyer,23,23,26
A. Kuncoro,14,14,14
Miguel Ballesteros,14,14,15
Noah A. Smith,134,134,177
Jianpeng Cheng,2,2,2
Li Dong,35,35,45
Mirella Lapata,19,19,21
Kaiming He,3,3,3
X. Zhang,28,28,28
Shaoqing Ren,3,3,3
Jian Sun,24,24,39
Christian Szegedy,10,10,10
Vincent Vanhoucke,64,64,64
Sergey Ioffe,4,4,4
Jonathon Shlens,4,4,4
Z. Wojna,4,4,4
Rico Sennrich,34,34,36
B. Haddow,7,7,10
Alexandra Birch,20,20,24
Thang Luong,11,11,11
Hieu Pham,2,2,2
Sainbayar Sukhbaatar,9,9,9
Arthur Szlam,3,3,3
J. Weston,17,17,18
R. Fergus,3,3,3
Terry Koo,5,5,5
Slav Petrov,181,181,215
Diederik P. Kingma,1,1,1
Junyoung Chung,3,3,3
Muhua Zhu,10,10,10
Yue Zhang,206,206,215
Wenliang Chen,4,4,4
Min Zhang,100,100,117
Jingbo Zhu,22,22,29
Nitish Srivastava,4,4,4
A. Krizhevsky,4,4,6
Junfeng Hao,3,3,3
Peng Chen,30,30,34
Juan Chen,10,10,10
Xi Li,8,8,8
Shiwen Ni,29,29,39
Jiawen Li,2,2,2
Hung-Yu kao,3,3,3
Bo Zhao,24,24,24
Nima Dehmamy,3,3,3
R. Walters,3,3,3
Rose Yu,3,3,3
Philippe Laban,9,9,9
Hiroaki Hayashi,14,14,15
Yingbo Zhou,12,12,16
Jennifer Neville,3,3,3
Andrew Zhao,9,9,9
Yiran Wu,17,17,18
Yang Yue,17,17,17
Tong Wu,23,23,23
Quentin Xu,9,9,9
Matthieu Lin,9,9,9
Shenzhi Wang,9,9,9
Qingyun Wu,25,25,26
Zilong Zheng,18,18,18
Gao Huang,17,17,17
Haoran Geng,36,36,36
Feishi Wang,36,36,36
Songlin Wei,36,36,36
Yuyang Li,36,36,36
Bangjun Wang,36,36,36
Boshi An,36,36,36
Charlie Tianyue Cheng,36,36,36
Haozhe Lou,36,36,36
Peihao Li,36,36,36
Yen-Jen Wang,36,36,36
Yutong Liang,36,36,36
Dylan Goetting,36,36,36
Chaoyi Xu,36,36,36
Haozhe Chen,38,38,38
Yuxi Qian,37,37,39
Yiran Geng,36,36,36
Jiageng Mao,37,37,39
Weikang Wan,36,36,36
Mingtong Zhang,36,36,36
Jiangran Lyu,36,36,36
Siheng Zhao,36,36,36
Jiazhao Zhang,36,36,36
Jialiang Zhang,36,36,36
Chengyang Zhao,36,36,36
Haoran Lu,36,36,36
Yufei Ding,45,45,54
Ran Gong,36,36,36
Yuran Wang,36,36,36
Yuxuan Kuang,36,36,36
Ruihai Wu,39,39,40
Baoxiong Jia,36,36,36
Carlo Sferrazza,36,36,36
Hao Dong,43,43,45
Siyuan Huang,58,58,62
Yue Wang,148,148,152
Jitendra Malik,37,37,37
Pieter Abbeel,40,40,40
Yixin Cao,34,34,34
Shibo Hong,26,26,26
Xinze Li,35,35,35
Jiahao Ying,35,35,36
Yubo Ma,26,26,26
Haiyuan Liang,26,26,26
Yantao Liu,26,26,26
Zijun Yao,29,29,29
Xiaozhi Wang,82,82,105
Dan Huang,31,31,31
Wenxuan Zhang,53,53,64
Lifu Huang,109,109,112
Muhao Chen,40,40,43
Lei Hou,48,48,56
Qianru Sun,26,26,26
Xingjun Ma,30,30,30
Zuxuan Wu,60,60,66
Min-Yen Kan,49,49,50
David Lo,54,54,61
Qi Zhang,111,111,157
Heng Ji,180,180,210
Jing Jiang,38,38,39
Juanzi Li,90,90,109
Aixin Sun,62,62,65
Xuanjing Huang,111,111,151
Tat-Seng Chua,52,52,53
Yugen Jiang,26,26,26
Yichen Li,12,12,12
Zhiting Fan,6,6,6
Ruizhe Chen,13,13,15
Xiaotang Gai,9,9,11
Luqi Gong,6,6,6
Yan Zhang,62,62,67
Zuozhu Liu,20,20,25
Siddhant Arora,19,19,21
Kai-Wei Chang,168,168,208
Chung-Ming Chien,9,9,9
Yifan Peng,34,34,42
Haibin Wu,32,32,43
Yossi Adi,20,20,20
Emmanuel Dupoux,16,16,16
Hung-yi Lee,72,72,132
Karen Livescu,34,34,41
Shinji Watanabe,81,81,127
Yichun Yin,72,72,88
Wenyong Huang,51,51,51
Kaikai Song,51,51,51
Yehui Tang,65,65,69
Xue-Fei Wu,51,51,51
Wei Guo,71,71,77
Peng Guo,51,51,51
Yaoyuan Wang,51,51,51
Xiaojun Meng,51,51,51
Yasheng Wang,83,83,97
Dong Li,67,67,67
Can Chen,61,61,61
Dandan Tu,58,58,58
Yin Li,57,57,57
Fisher Yu,51,51,51
Ruiming Tang,77,77,79
Yunhe Wang,65,65,72
Baojun Wang,51,51,51
Bin Wang,92,92,102
Bo Wang,565,565,610
Boxiao Liu,51,51,51
Changzheng Zhang,51,51,51
Duyu Tang,51,51,51
Fei Mi,54,54,54
Hui Jin,59,59,59
Jiansheng Wei,67,67,67
Jiarui Qin,51,51,51
Jinpeng Li,55,55,55
Jun Zhao,88,88,105
Li-Qiong Deng,51,51,51
Lin Li,88,88,93
Minghui Xu,51,51,51
Naifu Zhang,51,51,51
Nianzu Zheng,51,51,51
Qiang Li,61,61,61
Rongju Ruan,51,51,51
Shen Cheng,51,51,51
Tianyu Guo,51,51,51
Wei He,78,78,82
Wei Li,258,258,273
Wei-Wei Liu,51,51,51
Wu-Peng Liu,51,51,51
Xin Dai,51,51,51
Yong Dong,51,51,51
Yu Pan,51,51,51
Yue Li,75,75,75
Yufei Wang,70,70,70
Yujun Li,51,51,51
Yunsheng Ni,51,51,51
Zhe Liu,71,71,81
Zhenhe Zhang,51,51,51
Zhicheng Liu,51,51,51
Jianchen Wang,13,13,17
Zhouhong Gu,18,18,24
Zhuozhi Xiong,13,13,17
Hongwei Feng,13,13,17
Yanghua Xiao,60,60,80
Fengyuan Dai,13,13,13
Shiyang You,13,13,13
Chentong Wang,13,13,13
Yuliang Fan,13,13,13
Jin Su,13,13,13
Chenchen Han,13,13,13
Xibin Zhou,13,13,13
Jianming Liu,13,13,13
Hui Qian,13,13,13
Shunzhi Wang,13,13,13
Anping Zeng,13,13,13
Yajie Wang,13,13,13
Hongyuan Lu,13,13,13
Fajie Yuan,30,30,34
Chao Zhang,106,106,111
Qingfeng Xu,6,6,6
Yongrui Yu,6,6,6
Guanghui Zhou,6,6,6
Keyan Zeng,6,6,6
Fengtian Chang,6,6,6
Kai Ding,10,10,10
Daliang Xu,8,8,13
Wangsong Yin,8,8,13
Hao Zhang,71,71,73
Xin Jin,8,8,13
Ying Zhang,37,37,67
Shiyun Wei,8,8,13
Mengwei Xu,8,8,13
Xuanzhe Liu,14,14,19
Qiang Yi,7,7,7
Yangfan He,7,7,7
Jianhui Wang,9,9,9
Xinyuan Song,7,7,7
Shiyao Qian,7,7,7
Miao Zhang,7,7,7
Li Sun,10,10,10
Tianyu Shi,13,13,15
Size Wu,8,8,8
Wenwei Zhang,15,15,16
Lumin Xu,8,8,8
Sheng Jin,12,12,13
Zhonghua Wu,8,8,8
Qi Tao,8,8,8
Wentao Liu,12,12,13
Chen Change Loy,29,29,38
B. P. de Almeida,17,17,17
Hugo Dalla-torre,17,17,17
Guillaume Richard,17,17,17
Christopher Blum,17,17,17
Lorenz Hexemer,17,17,17
Maxence Gélard,17,17,17
Javier Mendoza-Revilla,17,17,17
Ziqi Tang,17,17,17
Frederikke I. Marin,17,17,17
David M. Emms,17,17,17
Priyanka Pandey,17,17,17
Stefan Laurent,17,17,17
Marie Lopez,17,17,17
Alexandre Laterre,17,17,17
Maren Lang,17,17,17
U. Sahin,17,17,17
Karim Beguir,17,17,17
Thomas Pierrot,22,22,22
Samuel Schmidgall,1,1,1
Michael Moor,14,14,14
Thomas Kwa,24,24,24
Ben West,24,24,24
Joel Becker,24,24,24
Amy Deng,24,24,24
Katharyn Garcia,24,24,24
Max Hasin,32,32,32
Sami Jawhar,24,24,24
Megan Kinniment,24,24,24
Nate Rush,24,24,24
Sydney von Arx,24,24,24
Ryan Bloom,24,24,24
Thomas Broadley,24,24,24
Haoxing Du,24,24,24
Brian Goodrich,24,24,24
Nikola Jurkovic,24,24,24
Luke Harold Miles,24,24,24
Seraphina Nix,24,24,24
Tao Lin,24,24,24
Neev Parikh,24,24,24
David Rein,24,24,24
L. Sato,24,24,24
Hjalmar Wijk,24,24,24
Elizabeth Barnes,76,76,76
Lawrence Chan,24,24,24
Alisa Liu,6,6,8
J. Hayase,5,5,5
Valentin Hofmann,10,10,10
Sewoong Oh,67,67,68
S. Kreps,2,2,2
Miles McCain,2,2,2
Miles Brundage,59,59,61
Su Lin Blodgett,12,12,14
Solon Barocas,5,5,7
Hal Daum'e,6,6,6
Hanna M. Wallach,5,5,7
Patrick Lewis,19,19,24
Ethan Perez,76,76,77
Aleksandara Piktus,11,11,11
F. Petroni,14,14,17
Vladimir Karpukhin,11,11,11
Naman Goyal,53,53,67
Heinrich Kuttler,11,11,11
M. Lewis,32,32,48
Tim Rocktäschel,31,31,38
Sebastian Riedel,34,34,54
Tal Linzen,16,16,17
Daniel Khashabi,39,39,45
Sewon Min,6,6,6
Tushar Khot,66,66,86
Ashish Sabharwal,27,27,44
Oyvind Tafjord,60,60,75
Ari Holtzman,19,19,25
Jesse Thomason,28,28,29
Jacob Andreas,57,57,57
J. Chai,27,27,27
Angeliki Lazaridou,29,29,29
Jonathan May,15,15,15
Aleksandr Nisnevich,11,11,11
Nicolas Pinto,11,11,11
Moin Nadeem,2,2,2
Anna Bethke,6,6,6
Siva Reddy,87,87,87
Xiaodong Liu,46,46,85
Hao Cheng,27,27,41
Pengcheng He,16,16,40
Weizhu Chen,70,70,103
Yu Wang,106,106,120
Hoifung Poon,45,45,75
Jianfeng Gao,197,197,267
Xiaoyuan Liu,12,12,12
Eric Wallace,20,20,20
Adam Dziedzic,5,5,5
R. Krishnan,15,15,15
D. Song,19,19,20
Sheng-Chieh Lin,15,15,17
Jheng-Hong Yang,6,6,7
Rodrigo Nogueira,13,13,17
Ming-Feng Tsai,5,5,5
Chuan-Ju Wang,6,6,7
Jimmy Lin,20,20,27
Zhuohan Li,28,28,35
Sheng Shen,421,421,433
Kevin Lin,54,54,54
K. Keutzer,50,50,78
D. Klein,28,28,28
Joseph E. Gonzalez,20,20,21
Kelvin Guu,7,7,8
Zora Tung,4,4,4
Panupong Pasupat,11,11,12
Adam Roberts,463,463,486
Colin Raffel,425,425,451
Yinhan Liu,14,14,23
Jiatao Gu,11,11,11
Xian Li,31,31,33
Sergey Edunov,10,10,10
Marjan Ghazvininejad,15,15,22
Timo Schick,402,402,406
Hinrich Schütze,30,30,38
Ronan Le Bras,24,24,29
Po-Sen Huang,8,8,8
Huan Zhang,82,82,82
Ray Jiang,8,8,8
Robert Stanforth,8,8,8
Johannes Welbl,8,8,8
Jack W. Rae,23,23,23
Vishal Maini,8,8,8
Dani Yogatama,33,33,43
Pushmeet Kohli,8,8,8
Daphne Ippolito,70,70,72
Daniel Duckworth,3,3,3
Chris Callison-Burch,16,16,18
D. Eck,68,68,69
Yixin Nie,6,6,7
Emily Dinan,143,143,144
Mohit Bansal,91,91,93
Abdel-rahman Mohamed,49,49,65
Veselin Stoyanov,13,13,19
Katherine Lee,166,166,206
Sharan Narang,90,90,110
Michael Matena,17,17,23
Yanqi Zhou,50,50,57
Peter J. Liu,13,13,14
Qiu Ran,4,4,4
Yankai Lin,31,31,45
Zhiyuan Liu,131,131,219
Victor Sanh,427,427,494
Lysandre Debut,37,37,76
Julien Chaumond,37,37,76
Thomas Wolf,472,472,559
Jonathan S. Rosenfeld,3,3,3
Amir Rosenfeld,3,3,3
Yonatan Belinkov,426,426,442
N. Shavit,3,3,3
Zhenzhong Lan,50,50,50
Mingda Chen,5,5,6
Sebastian Goodman,5,5,5
Piyush Sharma,5,5,5
Radu Soricut,5,5,5
Yen-Chun Chen,11,11,18
Linjie Li,9,9,19
Licheng Yu,7,7,14
Ahmed El Kholy,7,7,14
Faisal Ahmed,7,7,14
Zhe Gan,32,32,48
Yu Cheng,63,63,78
Jingjing Liu,28,28,40
Yingnan Ju,5,5,5
Fubang Zhao,5,5,5
Shijie Chen,7,7,7
Bowen Zheng,5,5,5
Xuefeng Yang,5,5,5
Yunfeng Liu,10,10,10
Xiaoqi Jiao,14,14,14
Lifeng Shang,34,34,57
Xin Jiang,121,121,160
Xiao Chen,21,21,29
Linlin Li,18,18,19
F. Wang,25,25,29
Qun Liu,115,115,154
Nisan Stiennon,7,7,7
Paul Christiano,7,7,7
G. Irving,22,22,23
M. Shoeybi,421,421,431
M. Patwary,20,20,27
Raul Puri,59,59,60
P. LeGresley,20,20,24
J. Casper,407,407,414
Bryan Catanzaro,22,22,30
Emily Sheng,11,11,13
P. Natarajan,9,9,9
Nanyun Peng,23,23,27
Irene Solaiman,397,397,397
Jasmine Wang,7,7,7
T. Kwiatkowski,18,18,22
J. Palomaki,17,17,17
Olivia Redfield,17,17,17
Michael Collins,21,21,25
Chris Alberti,26,26,31
D. Epstein,17,17,17
Matthew Kelcey,17,17,17
Myle Ott,26,26,29
Jingfei Du,28,28,32
Danqi Chen,30,30,31
M. Marneffe,5,5,6
M. Simons,2,2,2
Judith Tonhauser,2,2,2
Timothy Niven,1,1,1
Zhilin Yang,8,8,14
Zihang Dai,17,17,24
Yiming Yang,40,40,61
J. Carbonell,18,18,25
Sebastian Gehrmann,710,710,770
Hendrik Strobelt,390,390,392
Yusu Qian,3,3,3
Urwa Muaz,3,3,3
Ben Zhang,3,3,3
J. Hyun,3,3,3
Hannah Rashkin,6,6,6
Franziska Roesner,8,8,8
M. Nissim,16,16,17
Rik van Noord,2,2,2
Rob van der Goot,23,23,29
Zhongyang Li,7,7,11
Xiao Ding,9,9,19
Ting Liu,76,76,132
Kaitao Song,24,24,31
Xu Tan,35,35,47
Tao Qin,83,83,132
Jianfeng Lu,4,4,4
Tie-Yan Liu,54,54,94
Yada Pruksachatkun,402,402,403
Qizhe Xie,7,7,8
E. Hovy,168,168,169
Jan Buys,4,4,4
Li Du,9,9,9
Maxwell Forbes,4,4,4
Hila Gonen,9,9,9
Yoav Goldberg,42,42,44
Dheeru Dua,5,5,5
Yizhong Wang,46,46,47
Pradeep Dasigi,53,53,63
Gabriel Stanovsky,9,9,9
Sameer Singh,21,21,21
Roee Aharoni,20,20,20
Orhan Firat,235,235,294
R. Thomas McCoy,2,2,2
Ellie Pavlick,396,396,400
Cyprien de Masson d'Autume,14,14,18
Jerome T. Connor,10,10,10
Tomás Kociský,16,16,17
Mike Chrzanowski,10,10,10
Lingpeng Kong,93,93,118
Wang Ling,17,17,22
Lei Yu,13,13,18
Phil Blunsom,29,29,35
Guillaume Lample,51,51,57
OpenAI Dota Team,3,3,3
Jason Phang,400,400,403
Thibault Févry,403,403,407
Sheng Zhang,32,32,40
Kevin Duh,15,15,19
Benjamin Van Durme,32,32,32
Margaret Mitchell,412,412,427
Simone Wu,8,8,8
Andrew Zaldivar,8,8,8
Parker Barnes,73,73,74
Lucy Vasserman,8,8,8
Ben Hutchinson,78,78,82
Elena Spitzer,8,8,8
Inioluwa Deborah Raji,8,8,8
Timnit Gebru,8,8,8
Mohammad Taher Pilehvar,5,5,9
José Camacho-Collados,25,25,36
Yong Wang,10,10,10
Yun Chen,22,22,22
V. Li,4,4,4
He He,42,42,45
Mark Yatskar,7,7,7
Todor Mihaylov,23,23,23
Mostafa Dehghani,140,140,145
N. Keskar,5,5,11
Robin Jia,9,9,9
Trieu H. Trinh,9,9,10
Snigdha Chaturvedi,6,6,6
Michael Roth,4,4,4
Shyam Upadhyay,24,24,26
D. Roth,86,86,104
Rachel Rudinger,5,5,5
Jason Naradowsky,3,3,3
Brian Leonard,3,3,3
Matt Post,0,0,0
Isaac Cowhey,6,6,6
Oren Etzioni,14,14,19
Carissa Schoenick,14,14,19
Suchin Gururangan,86,86,88
Swabha Swayamdipta,13,13,15
Mohammad Saleh,6,6,6
Etienne Pot,6,6,6
Ben Goodrich,6,6,6
Ryan Sepassi,71,71,72
Joel Hestness,18,18,18
Newsha Ardalani,16,16,16
G. Diamos,8,8,8
Heewoo Jun,60,60,60
Hassan Kianinejad,8,8,8
Md. Mostofa Ali Patwary,8,8,8
Yang Yang,40,40,42
I. Loshchilov,1,1,1
F. Hutter,13,13,16
Scott E. Reed,7,7,7
Yutian Chen,7,7,7
T. Paine,7,7,7
S. Eslami,14,14,14
Danilo Jimenez Rezende,7,7,7
Nando de Freitas,13,13,13
Guokun Lai,4,4,4
Hanxiao Liu,9,9,9
Joshua Tobin,5,5,5
Rachel Fong,5,5,5
Alex Ray,72,72,76
Jonas Schneider,5,5,5
Wojciech Zaremba,57,57,59
P. Abbeel,18,18,18
Chelsea Finn,75,75,81
S. Levine,77,77,86
Ke Li,19,19,20
S. Ravi,1,1,1
H. Larochelle,7,7,7
Yan Duan,5,5,5
John Schulman,24,24,24
Xi Chen,46,46,46
P. Bartlett,5,5,5
Denis Paperno,8,8,8
Germán Kruszewski,399,399,400
Q. N. Pham,8,8,8
R. Bernardi,8,8,8
Sandro Pezzelle,13,13,14
Marco Baroni,18,18,19
Gemma Boleda,9,9,9
R. Fernández,10,10,11
Marcin Andrychowicz,6,6,6
Misha Denil,6,6,6
Sergio Gomez Colmenarejo,6,6,6
Matthew W. Hoffman,6,6,6
David Pfau,6,6,6
T. Schaul,6,6,6
C. Blundell,4,4,4
T. Lillicrap,4,4,4
D. Wierstra,4,4,4
Xiaodong He,67,67,76
L. Deng,28,28,39
Ye-Yi Wang,5,5,5
Jordan L. Boyd-Graber,29,29,35
L. Claudino,4,4,4
Hal Daumé,21,21,21
Nadir Durrani,23,23,36
Philipp Koehn,7,7,7
Kenneth Heafield,23,23,23
Jonathan Berant,34,34,39
A. Chou,3,3,3
Roy Frostig,3,3,3
Nicholas Léonard,2,2,2
Aaron C. Courville,19,19,21
R. Ross,0,0,0
Ernest Davis,2,2,2
A. Gordon,10,10,10
Zornitsa Kozareva,22,22,22
Melissa Roemmele,2,2,2
Stefano Baccianella,2,2,2
Andrea Esuli,4,4,5
F. Sebastiani,2,2,2
Yiren Wang,6,6,6
Yingce Xia,64,64,96
Tianyu He,6,6,6
Fei Tian,6,6,6
Chengxiang Zhai,6,6,6
Keisuke Sakaguchi,13,13,15
Karthik Narasimhan,35,35,39
Wangyu Wu,5,5,5
Tianhong Dai,5,5,5
Zhen Chen,5,5,5
Xiaowei Huang,11,11,11
Fei Ma,5,5,5
Jimin Xiao,5,5,5
Chenghao Qian,3,3,3
Yuhu Guo,3,3,3
Yuhong Mo,3,3,3
Wenjing Li,3,3,3
An Yang,89,89,108
Anfeng Li,58,58,59
Baosong Yang,106,106,123
Beichen Zhang,78,78,80
Binyuan Hui,106,106,149
Bo Zheng,93,93,95
Bowen Yu,93,93,117
Chang Gao,78,78,82
Chengen Huang,58,58,59
Chenxu Lv,58,58,59
Chujie Zheng,58,58,59
Dayiheng Liu,141,141,174
Fan Zhou,74,74,75
Fei Huang,166,166,253
Feng Hu,58,58,59
Hao Ge,58,58,59
Haoran Wei,62,62,67
Huan Lin,73,73,83
Jialong Tang,90,90,94
Jian Yang,181,181,282
Jianhong Tu,95,95,115
Jianwei Zhang,89,89,108
Jianxin Yang,58,58,59
Jiaxin Yang,58,58,59
Jingren Zhou,130,130,224
Junyan Lin,58,58,59
Kai Dang,97,97,121
Keqin Bao,63,63,64
Ke‐Pei Yang,58,58,59
Le Yu,58,58,59
Li-Chun Deng,58,58,59
Mei Li,96,96,125
Min Xue,58,58,59
Mingze Li,58,58,59
Pei Zhang,98,98,111
Peng Wang,131,131,151
Qin Zhu,58,58,59
Rui Men,89,89,108
Ruize Gao,90,90,94
Shi-Qiang Liu,58,58,59
